,Número receta,Nombre receta,ingredientes,ingredientes gustativos,ingredientes +elaboraciones,ingredientes + elaboraciones + técnicas,sabores,texturas
,100,Almendras cristal con toques marinos y jugo de almendruco,"almendrucos, agua, ácido ascórbico, azúcar, goma xantana, erizos, caviar beluga, huevas de besugo, polvo de alga Codium liofilizada, sal","almendrucos, ácido ascórbico, azúcar, erizos, caviar beluga, huevas de besugo, polvo de alga Codium liofilizada, sal","almendras cristal, jugo de almendruco, erizos, caviar beluga, huevas de besugo, polvo de alga Codium liofilizada, sal","almendras cristal, jugo de almendruco, erizos, caviar beluga, huevas de besugo, polvo de alga Codium liofilizada, sal","almendra, erizo, caviar beluga, alga Codium, huevas de besugo, jugo de almendruco",solido
,102,Hoja de albahaca y leche de piñón,"piñones crudos, agua, aceite virgen de piñón crudo, sal, goma xantana, hojas de albahaca","piñones crudos, aceite virgen de piñón crudo, sal, hojas de albahaca","crema de piñón, hojas de albahaca","crema de piñón, hojas de albahaca","albahaca, piñón",helado
,104,Croissant de gorgonzola con trufa negra y nuez garrapiñada,"agua mineral, metilcelulosa, manzana Granny Smith, agua, ácido ascórbico, goma xantana, clara de huevo en polvo, queso gorgonzola, aceite de maíz, trufa negra Tuber melanosporum, sal, nueces, manitol, maltodextrina de tapioca","manzana Granny Smith, ácido ascórbico,  clara de huevo en polvo, queso gorgonzola, aceite de maíz, trufa negra Tuber melanosporum, sal, nueces, manitol, maltodextrina de tapioca","croissants de merengue seco
de manzana, queso gorgonzola, aceite de trufa negra, nueces garrapiñadas, sal lustre, trufa negra Tuber melanosporum, maltodextrina de tapioca","croissants de merengue seco
de manzana, queso gorgonzola, aceite de trufa negra, nueces garrapiñadas, sal lustre, trufa negra Tuber melanosporum, maltodextrina de tapioca","merengue seco de manzana, queso gorgonzola, trufa negra, nuez garrapiñada, sal lustre","crujiente, cremoso"
,106,Sidra casera ahumada al momento,"manzana Granny Smith, licor de manzana verde, hielo seco, madera de roble para ahumar","manzana Granny Smith, licor de manzana verde, hielo seco, madera de roble para ahumar","manzana Granny Smith, licor de manzana verde, hielo seco, madera de roble para ahumar","manzana Granny Smith, licor de manzana verde, hielo seco, madera de roble para ahumar",sidra ahumada,liquido
,107,Ámbar de nueces tiernas con ratafía y crema de Idiazabal,"nata líquida 35% de materia grasa, queso Idiazabal, sal, pimienta negra, nueces tiernas, agua, ratafía, gelificante vegetal en polvo, goma xantana, nueces, aceite de girasol, limón, aceite virgen de nuez","nata líquida 35% de materia grasa, queso Idiazabal, sal, pimienta negra, nueces tiernas, ratafía, nueces, aceite de girasol, limón, aceite virgen de nuez","leche de queso Idiazabal, crema montada de queso Idiazabal, ambar de nueces tiernas y ratafía, ratafía ligada, leche de nuez tostada, nueces fritas, praliné de nuez frita, limón, aceite virgen de nuez","leche de queso Idiazabal, crema montada de queso Idiazabal, ambar de nueces tiernas y ratafía, ratafía ligada, nueces fritas, nueces tiernas, praliné de nuez frita, limón, aceite virgen de nuez, ueces miméticas","queso Idiazabal, nuez, ratafía, limón","solido, crujiente, cremoso"
,108,Milhojas de queso Idiazabal,"queso Idiazabal, agua, nata líquida 35% de materia grasa, sal, pimienta negra, clara de huevo pasteurizada, goma xantana, lecitina de soja en polvo, harina de trigo, aceite de girasol, limón, maltodextrina de tapioca","queso Idiazabal, agua, nata líquida 35% de materia grasa, sal, pimienta negra, clara de huevo pasteurizada, lecitina de soja en polvo, harina de trigo, aceite de girasol, limón, maltodextrina de tapioca","crema montada de Idiazabal, espuma de masa de Idiazabal, aceite de girasol, limón, maltodextrina de tapioca","crema montada de Idiazabal, hojaldre de queso Idiazabal, limón, maltodextrina de tapioca","queso Idiazabal, limón, azúcar","crujiente, cremoso"
,111,Panchino relleno de caviar y crema agria,"nata líquida 35% de materia grasa, yogur natural, huevo entero pasteurizado, agua, harina de trigo, azúcar, miel de romero, bicarbonato sódico, caviar beluga, aceite de girasol","nata líquida 35% de materia grasa, yogur natural, huevo entero pasteurizado, harina de trigo, azúcar, miel de romero, caviar beluga, aceite de girasol","crema agria, masa de panchino, caviar beluga, aceite de girasol","crema agria, panchino, caviar beluga,","masa frita, crema agria, caviar beluga",cremoso
,112,Lámina de tempura a la japonesa,"alginato sódico, agua mineral, jengibre, aceite de maíz, harina de trigo, Protempura, levadura prensada, agua, sal, azúcar, alga kombu deshidratada, katsuobushi, zumo de naranja, zumo de limón, mirin, salsa de soja, goma xantana, gluconolactato cálcico, aceite de maíz, aceite de girasol, lecitina de soja en polvo, alga wakame deshidratada, huevas de salmón, sake, aceite de sésamo tostado, sésamo blanco tostado","jengibre, aceite de maíz, harina de trigo, Protempura, levadura prensada, sal, azúcar, alga kombu deshidratada, katsuobushi, zumo de naranja, zumo de limón, mirin, salsa de soja, aceite de maíz, aceite de girasol, lecitina de soja en polvo, alga wakame deshidratada, huevas de salmón, sake, aceite de sésamo tostado, sésamo blanco tostado","esféricos de ponzu, ""cúpulas"" de tempura, aire de limón, alga wakame aliñada, huevas de salmón lavadas con sake, aceite de sésamo tostado, sésamo blanco tostado","esféricos de ponzu, ""cúpulas"" de tempura, aire de limón, alga wakame aliñada, huevas de salmón lavadas con sake, aceite de sésamo tostado, sésamo blanco tostado","tempura, alga wakame, jengibre, huevas de salmón, sake, sésamo, salsa ponzu, limón","crujiente, solido, aire"
,113,Berenjena crujiente con miso y katsuobushi,"agua mineral, alginato sódico, berenjenas, gluconolactato, mantequilla, sal, pimienta negra, aceite de maíz, pasta de miso rojo, yema de huevo pasteurizada, mirin, azúcar, agua,  dashi en polvo, harina de trigo, Protempura, levadura prensada, aceite de sésamo blanco tostado, sésamo blanco tostado,  katsuobushi laminado,  aceite de girasol","berenjenas, mantequilla, sal, pimienta negra, aceite de maíz, pasta de miso rojo, yema de huevo pasteurizada, mirin, azúcar,  dashi en polvo, harina de trigo, Protempura, levadura prensada, aceite de sésamo blanco tostado, sésamo blanco tostado,  katsuobushi laminado,  aceite de girasol","esféricos de berenjena asada, crema de miso, tempura, harina de trigo, aceite de sésamo blanco tostado, sésamo blanco tostado,  katsuobushi laminado,  aceite de girasol","tempura de esféricos de berenjena asada, crema de miso, aceite de sésamo blanco tostado, sésamo blanco tostado,  katsuobushi laminado","masa frita, berenjena, miso, sésamo, katsuobushi","crujiente, cremoso"
,114,Tatin de foie gras y maíz,"fondant, glucosa líquida, isomalt, maíz frito, sal, obulato, alginato sódico, agua mineral, maíz en conserva, agua, gluconolactato cálcico, goma xantana, foie gras, brandy, pimienta negra, vino Pedro Ximénez, sal en escama, ","fondant, glucosa líquida, maíz frito, sal, obulato, maíz en conserva, foie gras, brandy, pimienta negra, vino Pedro Ximénez, sal en escama, ","crocant de maíz, crema de maíz, foie gras, vino Pedro Ximénez, pimienta negra, sal en escama","crocant de maíz, multiesféricos de maíz, foie gras, vino Pedro Ximénez, pimienta negra, sal en escama","maíz, foie gras, vino Pedro Ximénez","crujiente, cremoso"
,115,Mazorca de maíz multiesférica,"huesos de espinada de cerdo ibérico, huesos de jamón de cerdo ibérico, cebolla, zanahoria, tomates, aceite de oliva suave, agua, sal, pasta de achiote, manteca de cerdo, zumo de naranja, alginato sódico, agua mineral, maíz en conserva, gluconolactato cálcico, goma xantana, mantequilla, pimienta negra, panceta curada ibérica, yogur natural, pasta de mole negro","huesos de espinada de cerdo ibérico, huesos de jamón de cerdo ibérico, cebolla, zanahoria, tomates, aceite de oliva suave, sal, pasta de achiote, manteca de cerdo, zumo de naranja, maíz en conserva, mantequilla, pimienta negra, panceta curada ibérica, yogur natural, pasta de mole negro","salsa de achiote, multiesféricos de maíz, salsa de maíz, maíz rustido, migas de panceta, pimienta negra, yogur natural, pasta de mole negro","salsa de achiote, multiesféricos de maíz, salsa de maíz, maíz rustido, migas de panceta, pimienta negra, yogur natural, pasta de mole negro","salsa de achiote, yogur natural, maíz, panceta, mole negro","crujiente, cremoso, liquido"
,118,Sorbete nitro de leche de búfala con fresitas y yuzu,"zumo de yuzu, goma xantana, fresitas del bosque, leche fresca de búfala, nitrógeno líquido","zumo de yuzu, fresitas del bosque, leche fresca de búfala,","zumo de yuzu ligado, fresitas del bosque, leche fresca de búfala","zumo de yuzu ligado, fresitas del bosque, leche fresca de búfala","leche de búfala, fresita de bosque, yuzu


","helado, cremoso"
,121,"Atún marinado con frambuesas, estragón y helado de sake kasu","azúcar, agua, sake, zumo de yuzu, sake kasu, leche entera, hoja de gelatina, Prosorbet, pasta de soja fermentada Gang Jang, pasta de soja fermentada con guindilla Gochu Jang, ajo, aceite de sésamo, goma xantana, lomo de atún rojo, frambuesas, estragón, sésamo blanco tostado, sal en escamas","azúcar, sake, zumo de yuzu, sake kasu, leche entera, pasta de soja fermentada Gang Jang, pasta de soja fermentada con guindilla Gochu Jang, ajo, aceite de sésamo, lomo de atún rojo, frambuesas, estragón, sésamo blanco tostado, sal en escamas","cóctel de sake y yuzu, helado de sake kasu, salsa de yukke, lomo de atún rojo, frambuesas, estragón, sésamo blanco tostado, sal en escamas","cóctel de sake y yuzu, helado de sake kasu, salsa de yukke, lomo de atún rojo, frambuesas, estragón, sésamo blanco tostado, sal en escamas","sake kasu, salsa de yukke, atún, sake, yuzu, frambuesa, estragón, sésamo","helado, solido"
,122,Coquitos de parmesano con yema de huevo y trufa,"queso Parmigiano Reggiano, agua, goma xantana, cuscús de gelatina Sosa, agua mineral,  alginato sódico, yema de huevo pasteurizada, goma xantana, gluconolactato cálcico, aceite de oliva suave, aceite de maíz, trufa negra Tuber melanosporum, sal, perifollo, limón, ","queso Parmigiano Reggiano, yema de huevo pasteurizada, aceite de oliva suave, aceite de maíz, trufa negra Tuber melanosporum, sal, perifollo, limón, ","coquitos de parmesano, yemas esféricas, yema de huevo ligada, aceite de trufa negra, daditos de parmesano, perifollo, limón","coquitos de parmesano, yemas esféricas, yema de huevo ligada, aceite de trufa negra, daditos de parmesano, perifollo, limón","queso Parmigiano Reggiano, yema de huevo, trufa negra, piel de limón, perifollo","granuloso, cremoso"
,125,Sémola de dashi con erizos y alga Laurencia,"alga kombu deshidratada, katsuobushi, agua, erizos, semolina de gelatina Sosa, jengibre, aceite de maíz, alga Laurencia fresca, vinagre de arroz, azúcar, sal, yema de huevo pasteurizada, goma xantana, zumo de yuzu, yuzu, salsa de soja","alga kombu deshidratada, katsuobushi, erizos, jengibre, aceite de maíz, alga Laurencia fresca, vinagre de arroz, azúcar, sal, yema de huevo pasteurizada, yema de huevo pasteurizada a punto de sal, zumo de yuzu, yuzu, salsa de soja","sémola de dashi, erizos, aceite de jengibre, alga Laurencia encurtida, yema ligada, yema de huevo pasteurizada a punto de sal, zumo de yuzu, yuzu, salsa de soja","sémola de dashi, erizos, aceite de jengibre, alga Laurencia encurtida, yema ligada, yema de huevo pasteurizada a punto de sal, zumo de yuzu, yuzu, salsa de soja","dashi, erizo, yema de huevo, jengibre, yuzu, piel de yuzu, soja, alga Laurencia

","granuloso, cremoso, solido"
,126,Huevo al barro con huevas de salmón y erizos,"huevos de gallina, erizos, huevas de salmón, sake, salsa de soja,  vinagre de arroz, zumo de limón, aceite de sésamo tostado, tabasco, jengibre, goma xantana","huevos de gallina, erizos, huevas de salmón, sake, salsa de soja,  vinagre de arroz, zumo de limón, aceite de sésamo tostado, tabasco, jengibre","huevos de gallina, erizos, huevas de salmón, vinagreta japonesa","huevos de gallina, erizos, huevas de salmón, vinagreta japonesa","huevo pochado, erizo, hueva de salmón, vinagreta japonesa",cremoso
,127,Bearnesa de huevas de trucha con pan ligero de algas,"mantequilla, harina de trigo, Protempura, levadura prensada, agua, sal, azúcar, pistachos verdes, yema de huevo pasteurizada, clara de huevo pasteurizada,  alga Codium liofilizada en polvo, vinagre de vino blanco, hojas de estragón, chalota, huevas de trucha, goma xantana, alga Codium fresca, aceite de girasol","mantequilla, harina de trigo, levadura prensada, sal, azúcar, pistachos verdes, yema de huevo pasteurizada, clara de huevo pasteurizada,  alga Codium liofilizada en polvo, vinagre de vino blanco, hojas de estragón, chalota, huevas de trucha, alga Codium fresca, aceite de girasol","mantequilla clarificada, pan ligero de algas, chalota encurtida, bearnesa de huevas de trucha, huevas de trucha, alga Codium liofilizada en polvo, alga Codium fresca,","tempura de alga Codium, mantequilla clarificada, pan ligero de algas, chalota encurtida, bearnesa de huevas de trucha,  huevas de trucha, alga Codium liofilizada en polvo, ","alga Codium, tempura, pan de algas, salsa bearnesa, huevas de trucha, ","cremoso, crujiente, esponjoso"
,128,Huevo frito marino,"agua mineral, alginato sódico, huevas de salmón, goma xantana, gluconolactato cálcico, clara de huevo pasteurizada, minianchoas coreanas, aceite de girasol, sal, huevos de gallina, limón, aceite de oliva virgen extra","huevas de salmón, clara de huevo pasteurizada, minianchoas coreanas, aceite de girasol, sal, huevos de gallina, limón, aceite de oliva virgen extra","yemas esféricas de huevas
de salmón, huevas de salmón, clara de huevo de gallina, limón, aceite de oliva virgen extra, minianchoas coreanas","yemas esféricas de huevas
de salmón, huevas de salmón, clara de huevo de gallina, limón, aceite de oliva virgen extra, minianchoas coreanas","pescaditos fritos, hueva de salmón, clara de huevo frito, piel de limón","solido, crujiente"
,136,Risotto al azafrán con tomate y albahaca,"carcasas de pollo, muslos de pollo, cebolla, zanahoria, apio, agua, tomates en rama maduros, agar-agar en polvo, hoja de gelatina, sal, azafrán, queso Parmigiano Reggiano, nata líquida 35% de materia grasa, pimienta negra, agua mineral, alginato sódico, albahaca, goma xantana, gluconolactato cálcico, aceite de girasol, arroz carnaroli, chalota, mantequilla, vino blanco seco, limón, Caviaroli de Módena, tomate liofilizado en polvo, hojitas de albahaca","carcasas de pollo, muslos de pollo, cebolla, zanahoria, apio, agua, tomates en rama maduros,  sal, azafrán, queso Parmigiano Reggiano, nata líquida 35% de materia grasa, pimienta negra, albahaca, aceite de girasol, arroz carnaroli, chalota, mantequilla, vino blanco seco, limón, Caviaroli de Módena, tomate liofilizado en polvo, hojitas de albahaca","gelatina caliente de jugo
de tomate clarificado, esféricos de agua de albahaca, risotto al azafrán, cremoso de queso parmesano, Caviaroli de Módena, tomate liofilizado en polvo, hojitas de albahaca, pimienta negra","gelatina caliente de jugo
de tomate clarificado, esféricos de agua de albahaca, risotto al azafrán, cremoso de queso parmesano, Caviaroli de Módena, tomate liofilizado en polvo, hojitas de albahaca, pimienta negra","risotto al azafrán, tomate, albahaca, vinagre de Módena, queso Parmigiano Reggiano, ","gelatinoso, solido"
,137,Ceviche en deconstrucción,"zanahoria, agua, ají amarillo, azúcar, Prosorbet, trehalosa, ajo, jengibre, cebolla roja, apio, caldo dashi en polvo, hielo, zumo de limón, cilantro, goma xantana, aceite de oliva virgen extra, cabezas de rape, sal, aceite de girasol, lima","zanahoria, ají amarillo, azúcar, trehalosa, ajo, jengibre, cebolla roja, apio, caldo dashi en polvo, zumo de limón, cilantro, aceite de oliva virgen extra, cabezas de rape, sal, aceite de girasol, lima","helado de ají y zanahoria, leche de tigre blanca, leche de tigre naranja, jugo de rape, aceite de cilantro,  aceite de oliva virgen extra, lima","helado de ají y zanahoria, leche de tigre blanca, leche de tigre naranja, jugo de rape, aceite de cilantro,  aceite de oliva virgen extra, lima","ají, zanahoria, caldo de rape, leche de tigre blanca, leche de trigre naranja, cilantro, lima, piel de lima","helado, cremoso"
,139,Sándwich helado de gazpacho con guarnición olorosa de vinagre de Jerez,"tomates rojos maduros, agua, metilcelulosa, goma xantana, clara de huevo en polvo, Protempura Crunx, sal, pepino, pimiento rojo, pan blanco, aceite de oliva virgen extra, cebolla tierna, ajo, vinagre de Jerez, hojas de gelatina, vinagre de Jerez 25 años","tomates rojos maduros, clara de huevo en polvo, sal, pepino, pimiento rojo, pan blanco, aceite de oliva virgen extra, cebolla tierna, ajo, vinagre de Jerez, vinagre de Jerez 25 años","rebanadas de pan de molde
de merengue de tomate, sorbete de gazpacho, vinagre de Jerez 25 años","rebanadas de pan de molde
de merengue de tomate, sorbete de gazpacho, vinagre de Jerez 25 años","gazpacho, ","crujiente, helado, cremoso"
,141,Conserva de navajas a la sal,"vinagre de arroz, azúcar, sal, hielo, lechuga de mar fresca, brotes de alga Laurencia, brotes de alga Gigartina pistillata, navajas, agua, salsa jang, goma xantana, aceite de oliva virgen extra, vinagre de Jerez, pimienta negra, ","vinagre de arroz, azúcar, sal, lechuga de mar fresca, brotes de alga Laurencia, brotes de alga Gigartina pistillata, navajas, salsa jang, aceite de oliva virgen extra, vinagre de Jerez, pimienta negra","algas frescas en vinagre, navajas cocidas y su agua ligada, aceite de oliva virgen extra, vinagre de Jerez, pimienta negra","algas frescas en vinagre, papillote de navajas, aceite de oliva virgen extra, vinagre de Jerez","navajas, vinagre de Jerez,algas",solido
,142,Noodles de espardenyes en suquet,"espardenyes, piel de esparenya, agua, aceite de oliva virgen extra, goma xantana, pescado de roca, cangrejo de roca, ajo, perejil, pimentón, tomate, sal, pimentón dulce, maicena, avellanas, aceite de maíz, aceite de girasol, huevo pasteurizado, azafrán, ","espardenyes, piel de esparenya, aceite de oliva virgen extra, pescado de roca, cangrejo de roca, ajo, perejil, pimentón, tomate, sal, pimentón dulce, maicena, avellanas, aceite de maíz, aceite de girasol, huevo pasteurizado, azafrán, ","filamentos de espardenyes, jugo de espardenya, salsa de suquet, pasta de avellana tostada, aceite de perejil, alioli de azafrán, perejil picado, aceite de oliva virgen extra, sal","filamentos de espardenyes, jugo de espardenya, salsa de suquet, pasta de avellana tostada, aceite de perejil, alioli de azafrán, perejil picado, aceite de oliva virgen extra, sal","suquet, espardenyas, avellana, alioli de azafrán,","solido, liquido"
,143,Capuchino de suquet,"pescado de roca, cangrejo de roca, aceite de oliva virgen extra, ajo, perejil, pimentón, tomate, sal, agua, goma xantana, patata, nata 35% de materia grasa, ","pescado de roca, cangrejo de roca, aceite de oliva virgen extra, ajo, perejil, pimentón, tomate, sal, agua, patata, nata 35% de materia grasa, ","caldo de suquet, espuma caliente de patata en suquet, aceite de oliva virgen extra","caldo de suquet, espuma caliente de patata en suquet, aceite de oliva virgen extra","suquet, patata","cremoso, liquido"
,144,Gamba en suquet,"gambas rojas, pescado de roca, cabezas y cáscaras de las gambas, aceite de oliva virgen extra, ajo, perejil, pimentón, tomate, sal, agua, maicena, alginato sódico, patata, gluconolactato cálcico, aceite de girasol, huevo pasteurizado, azafrán, avellanas, aceite de maíz, lecitina de soja en polvo","gambas rojas, pescado de roca, cabezas y cáscaras de las gambas, aceite de oliva virgen extra, ajo, perejil, pimentón, tomate, sal, maicena, patata, aceite de girasol, huevo pasteurizado, azafrán, avellanas, aceite de maíz,","gamba roja pelada, salsa de suquet, patatas esféricas, alioli de azafrán, pasta de avellana tostada, aceite de perejil, aire de perejil, aceite de oliva virgen extra, sal","gamba roja pelada, salsa de suquet, patatas esféricas, alioli de azafrán, pasta de avellana tostada, aceite de perejil, aire de perejil, aceite de oliva virgen extra, sal","gamba, patata, alioli de azafrán, perejil, avellana, suquet","solido, liquido, aire"
,153,Mar y montaña extremo: ortiguilla y liebre,"liebre, salsa de soja,  vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra, aceite de oliva 0.4°, agua, sal, cabezas de conejo, hielo, ortiguillas,  salsa jang, ","liebre, salsa de soja,  vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra, aceite de oliva 0.4°, sal, cabezas de conejo, hielo, ortiguillas,  salsa jang, ","jugo de liebre, sesos de conejo cocidos, centros de ortiguilla cocidos, crema de ortiguillas, consomé de ortiguilla","jugo de liebre, sesos de conejo cocidos, centros de ortiguilla cocidos, crema de ortiguillas, consomé de ortiguilla","liebre, ortiguilla, sesos de conejo","liquido, cremoso"
,156,Blini relleno de liebre,"liebre, salsa de soja,  vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra, aceite de oliva 0.4°, agua, sal, foie gras, brandy, goma xantana, huevo entero pasteurizado, harina de trigo, azúcar, bicarbonato sódico, mantequilla, cacao en polvo","liebre, salsa de soja,  vino manzanilla, vino de Oporto, vino tinto, apio, cebolla, zanahoria, tomillo, romero, laurel, pimienta negra, aceite de oliva 0.4°, sal, foie gras, brandy, huevo entero pasteurizado, harina de trigo, azúcar, mantequilla, cacao en polvo","jugo de liebre, terrina de foie gras, masa de blini, mantequilla, cacao en polvo","relleno de liebre y foie gras, masa de blini, mantequilla, cacao en polvo","masa a la plancha, liebre, foie gras, mantequilla, cacao",cremoso
,157,Torrija de pichón,"muslos de pichón, alas de pichón, carcasas de pichón, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, agua, aceite de oliva 0.4°, goma xantana, sal, pimienta negra, pan rústico de trigo, mantequilla,  anís estrellado en polvo, pimienta de Sichuan en polvo, ","muslos de pichón, alas de pichón, carcasas de pichón, vino manzanilla, vino de Oporto, salsa de soja, vino tinto, armañac, aceite de oliva 0.4°, sal, pimienta negra, pan rústico de trigo, mantequilla,  anís estrellado en polvo, pimienta de Sichuan en polvo, ","jugo de pichón, rebanadas de pan, mantequilla,  anís estrellado en polvo, pimienta de Sichuan en polvo, ","torrija de pichón, anís estrellado en polvo, pimienta de Sichuan en polvo,","torrija, pichón, anís, estrellado, pimienta de Sichuan",cremoso
,158,Albóndigas de pepino Pekín,"ciruelas pasas deshuesadas, sésamo blanco, salsa de soja,  vinagre de arroz, pasta de curri rojo, miso blanco, agua, semillas de cardamomo verde, pimienta de Sichuan, anís estrellado, canela, aceite de maíz, jengibre, pepino, azúcar, goma xantana, hoja de gelatina, corteza de piel de jamón, germinado de cilantro, menta fresca, cilantro fresco, aceite virgen de sésamo tostado","ciruelas pasas deshuesadas, sésamo blanco, salsa de soja,  vinagre de arroz, pasta de curri rojo, miso blanco, semillas de cardamomo verde, pimienta de Sichuan, anís estrellado, canela, aceite de maíz, jengibre, pepino, azúcar, corteza de piel de jamón, germinado de cilantro, menta fresca, cilantro fresco, aceite virgen de sésamo tostado","salsa hoisin, aceite de jengibre, agua de pepino ligada, sorbete de jugo de pepino y vinagre de arroz, sésamo blanco tostado, cortezas de cerdo, brotes de germinado de cilantro, menta fresca, cilantro fresco, aceite virgen de sésamo tostado","salsa hoisin, aceite de jengibre, agua de pepino ligada, sorbete de jugo de pepino y vinagre de arroz, sésamo blanco tostado, cortezas de cerdo, brotes de germinado de cilantro, menta fresca, cilantro fresco, aceite virgen de sésamo tostado","salsa hoisin, corteza de cerdo, sésamo, pepino, cilantro, menta, ","crujiente, helado"
,161,Tordos de Canet,"pechugas de tordo, cabezas de tordo, muslos de tordo, alas de tordo, parte trasera de la pechuga de tordo, Oporto, vino manzanilla, vino tinto, armañac, salsa de soja, aceite de oliva 0.4°, agua, sal, foie gras, brandy, pimienta negra, hígados de tordo, pulmones de tordo, aceite de oliva virgen extra, agua mineral, alginato sódico, yema de huevo pasteurizada, goma xantana, gluconolactato cálcico, aceite de oliva suave, panceta ibérica curada, harina de maíz fina, aceite de girasol, tomates de colgar, ajo, tomillo,  níscalos, trompetas de los muertos, rebozuelos, huevos de codorniz,caviar beluga","pechugas de tordo, cabezas de tordo, muslos de tordo, alas de tordo, parte trasera de la pechuga de tordo, Oporto, vino manzanilla, vino tinto, armañac, salsa de soja, aceite de oliva 0.4°, sal, foie gras, brandy, pimienta negra, hígados de tordo, pulmones de tordo, aceite de oliva virgen extra, yema de huevo pasteurizada, aceite de oliva suave, panceta ibérica curada, harina de maíz fina, aceite de girasol, tomates de colgar, ajo, tomillo,  níscalos, trompetas de los muertos, rebozuelos, huevos de codorniz,caviar beluga","pechugas de tordo, cabezas de tordo, jugo de tordo, paté de tordo, miniyemas esféricas, panceta ibérica curada, teja de maíz, tomate de colgar guisado, setas guisadas, huevos de codorniz,  caviar beluga, sal, pimienta negra","pechugas de tordo, cabezas de tordo, jugo de tordo, paté de tordo, miniyemas esféricas, panceta ibérica curada, teja de maíz, tomate de colgar guisado, setas guisadas, huevos de codorniz,  caviar beluga, sal, pimienta negra","tordo, huevo de codorniz, setas, foie, gras, tomate guisado, panceta ibérica, maíz, yema de huevo, caviar beluga, ","solido, cremoso"
,184,Grissini de espardenyes con su crema,"filamentos de espardenya, pieles de espardenya, aceite de girasol, aceite de oliva virgen extra, agua, goma xantana","filamentos de espardenya, pieles de espardenya, aceite de girasol, aceite de oliva virgen extra,","grissini de espardenya, crema de espardenyes","grissini de espardenya, crema de espardenyes",espardenya,"crujiente, cremoso"
,190,Suflé de maíz,"agua, copos de puré de patata, sal, glicerina, miga de pan blanco seco, maíz frito, aceite de girasol","agua, copos de puré de patata, sal, glicerina, miga de pan blanco seco, maíz frito, aceite de girasol","rectángulos deshidratados de masa para suflé, maíz frito, aceite de girasol, sal","suflé de maíz, sal","masa frita, maíz",crujiente
,192,Tortell al pesto,"queso Parmigiano Reggiano, agua, clara de huevo pasteurizada, goma xantana, lecitina de soja en polvo, harina de trigo, sal, aceite de girasol, nata 35% de materia grasa, leche entera, agua mineral, alginato sódico, aceite de oliva suave, albahaca, gluconolactato cálcico, maltodextrina de tapioca, piñones tostados","queso Parmigiano Reggiano, clara de huevo pasteurizada, lecitina de soja en polvo, harina de trigo, sal, aceite de girasol, nata 35% de materia grasa, leche entera, aceite de oliva suave, albahaca, maltodextrina de tapioca, piñones tostados","hojaldre de parmesano, espuma de parmesano, esféricos de agua de albahaca, albahaca, maltodextrina de tapioca, piñones tostados","hojaldre de parmesano, espuma de parmesano, esféricos de agua de albahaca, albahaca, maltodextrina de tapioca, piñones tostados","queso Parmigiano Reggiano, albahaca, piñones tostados","crujiente, cremoso"
,203,Nigiri de atún con kimchi,"tomate, agua mineral, metilcelulosa, goma xantana, clara de huevo en polvo, sal, trisol, salsa base para kimchi, agua, pera nashi, aceite de oliva suave, lomo de atún, mató cremoso, ","tomate, clara de huevo en polvo, sal, salsa base para kimchi, pera nashi, aceite de oliva suave, lomo de atún, mató cremoso, ","quenelles de merengue seco
de tomate, salsa kimchi, láminas de atún, mató cremoso","quenelles de merengue seco
de tomate, salsa kimchi, láminas de atún, mató cremoso","merengue seco de tomate, mató, salsa kimchi, atún","crujiente, cremoso"
,206,Wonton de caracoles a la boloñesa,"caracoles bover, tomillo, laurel, pimienta negra, guindilla, agua, sal, cebolla, panceta ibérica curada, aceite de oliva virgen extra, vino rancio, tomate, pimentón hojilla, panceta fresca, beicon ibérico, carne picada de cerdo,  jamón ibérico picado, grasa de jamón ibérico, butifarra negra, harina de maíz, láminas de pasta wonton, carne magra de cerdo ibérico, huesos de espinazo de cerdo ibérico, huesos de jamón ibérico, zanahoria, cilantro, aceite de oliva virgen 0.4°, aceite de oliva suave, hinojo, lecitina de soja en polvo, flores de borraja, ramas de hinojo fresco","caracoles bover, tomillo, laurel, pimienta negra, guindilla, sal, cebolla, panceta ibérica curada, aceite de oliva virgen extra, vino rancio, tomate, pimentón hojilla, panceta fresca, beicon ibérico, carne picada de cerdo,  jamón ibérico picado, grasa de jamón ibérico, butifarra negra, harina de maíz, láminas de pasta wonton, carne magra de cerdo ibérico, huesos de espinazo de cerdo ibérico, huesos de jamón ibérico, zanahoria, cilantro, aceite de oliva virgen 0.4°, aceite de oliva suave, hinojo, flores de borraja, ramas de hinojo fresco","guiso de caracoles, láminas de pasta wonton, jugo de cerdo ibérico, grasa fundida de jamón ibérico, migas crujientes de panceta, aire de hinojo, flores de borraja, ramas de hinojo fresco","wonton de caracoles, jugo de cerdo ibérico, grasa fundida de jamón ibérico, migas crujientes de panceta, aire de hinojo, flores de borraja, ramas de hinojo fresco","pasta hervida, caracoles, salsa boloñesa, jugo de cerdo, panceta frita, flor de borraja, hinojo","solido, liquido, crujiente, aire"
